device_id,clinic_id
7546,1
3015,2
2184,1
2581,5
9632,4
5572,6
2520,3
7424,3
1175,6
2371,6
6362,6
6363,2
3069,5
1594,5
9809,1
6262,3
9852,3
5364,6
4028,4
7499,2
8965,5
2612,2
5846,6
2706,4
3821,6
7967,3
4636,2
1979,4
6502,1
8253,2
7287,3
3161,3
7861,5
5219,3
7411,3
2854,2
8810,5
1591,5
5258,2
7935,2
3689,4
6022,1
7493,2
8183,3
3552,4
3849,4
9110,1
1343,2
3173,1
8888,1
5051,2
3919,1
8213,6
2182,3
5528,4
8260,1
3964,4
3820,4
2192,6
2526,6
5045,4
6144,5
9776,1
5891,2
9523,5
9321,5
2012,6
2289,1
4487,5
8433,2
5735,3
5218,6
3067,3
6193,4
6698,6
9274,2
3879,6
9595,5
4533,4
5524,4
1444,2
4296,5
6593,2
6040,6
4340,4
8855,2
1282,5
5111,5
9060,6
3575,4
4523,4
5778,4
2472,6
6280,4
5567,5
3507,1
7198,4
6854,3
9376,3
2687,4
5216,6
7101,5
1833,5
4192,3
5756,3
5441,3
8232,3
6261,6
8079,4
4251,2
5416,5
4234,6
6457,2
5566,6
1242,3
3384,3
1012,2
4380,5
3921,4
2207,6
8109,5
8001,1
6416,1
2760,6
5239,4
6003,2
2255,5
4304,3
9257,5
7035,1
2420,4
9545,2
9860,3
9629,4
6153,3
1987,6
5928,2
5053,2
3838,3
4301,6
5049,3
4291,4
7790,6
2885,3
8273,2
5166,2
5490,4
3549,3
3756,6
7510,1
3025,4
5640,3
7314,2
2474,6
3108,1
4526,5
2673,2
7318,2
4485,1
9512,5
7341,2
4032,5
4050,5
3619,6
5058,2
9104,1
9459,1
5353,4
1071,5
7458,5
8120,1
2925,6
1367,2
9525,5
4650,6
1257,3
5500,2
5571,2
7762,5
6751,2
7500,2
1075,1
7829,5
8235,4
7178,1
4152,4
1475,3
7308,3
2197,5
8857,5
2288,3
5857,5
5478,3
1706,1
9322,6
7839,6
2463,5
6443,5
7852,2
7450,2
2646,2
3320,6
7974,2
6913,3
8488,3
2464,2
6158,5
7216,5
5436,5
3233,1
5271,1
5583,2
2426,1
7048,2
6369,1
9419,1
6743,1
4549,1
2090,6
9708,2
9275,3
9185,5
4752,5
9605,4
3903,3
3860,6
9012,2
5377,4
9084,4
2410,2
9807,4
7515,4
9980,2
5357,4
1793,2
6980,6
7462,2
9067,5
5574,2
8478,2
9999,6
7879,1
6808,3
5141,6
8110,6
1688,1
1577,4
1354,1
2980,2
9317,2
3127,4
2190,6
1392,6
8139,6
4727,5
7166,5
5893,3
7084,3
9540,2
1153,5
7421,3
5452,2
4728,1
4381,6
3547,6
4944,4
6444,5
6075,3
9385,1
2024,4
7496,3
7793,6
5329,6
3263,3
7375,4
2333,3
6553,4
2323,6
8666,6
1430,6
3180,4
6865,5
4038,1
9391,3
4365,3
2306,2
4396,5
4263,4
2746,4
4364,6
1538,5
6945,3
2718,3
4056,6
1245,5
9232,5
2539,3
1398,5
1096,1
1982,1
8040,3
4323,1
6886,1
2117,1
2734,5
9048,2
5092,5
3710,4
8348,2
4740,4
1001,6
6814,3
6116,5
8869,1
8233,5
1235,2
3370,1
7630,5
8904,4
8996,5
4395,2
4347,5
8160,3
3424,2
8204,5
9265,5
5950,4
6768,3
7876,2
6398,1
9933,2
3276,4
7547,2
6388,3
4589,2
2502,5
7836,6
2118,4
3222,4
7209,5
1825,2
2871,3
4567,4
6597,4
2661,5
4261,3
6229,5
6950,5
2791,2
1714,4
2401,6
1065,4
5945,3
4771,4
5953,5
5071,3
9319,3
6148,2
2450,6
9755,1
2034,6
9206,6
6878,5
2264,2
6668,2
6235,3
5407,5
9172,4
2319,3
8932,6
1519,5
6006,5
6788,3
8322,6
3675,1
4146,3
6976,4
7659,2
8579,5
7476,2
7568,1
1123,1
4009,1
7438,1
8306,5
6672,4
2166,2
6102,4
6020,6
5538,4
8479,3
1304,3
6014,2
9619,2
9287,6
6534,5
5060,1
9583,1
7966,2
3904,6
7943,4
6560,3
3979,5
3707,1
6030,1
8401,4
7944,6
8910,6
7334,5
4569,5
5695,4
6007,5
4428,3
4703,4
7820,5
5820,3
7189,5
5676,4
6368,2
5424,6
8663,1
8787,4
4063,2
3928,6
7307,5
8758,6
7535,3
5310,6
2933,2
4815,4
5864,4
2846,6
4924,1
6288,3
9734,3
8052,2
7396,2
9200,5
9018,3
7338,4
4649,4
8098,4
1383,6
6919,4
5269,4
5002,4
8599,1
3304,2
2284,6
7858,3
2094,1
5411,2
5371,5
5380,4
3225,6
4031,2
4994,6
8571,6
4996,4
3721,2
8588,1
2245,1
1094,1
9914,4
4984,2
5708,1
9123,2
2408,4
7360,2
9552,3
3359,4
2295,1
8224,5
6590,2
9430,3
6093,5
4854,3
6433,6
4373,4
2342,2
9443,3
3850,1
3220,6
8601,5
9328,3
9014,4
7080,6
9091,3
9920,6
5747,6
6038,2
8497,3
5445,2
3972,2
4720,3
5874,5
5229,5
5726,5
4955,6
5932,1
